Title,Abstract,Relevance,Probability
"Effects of light activation, agent concentration, and tooth thickness on dental sensitivity after bleaching.","UNLABELLED: Examining three bleaching systems, this in vivo clinical trial evaluated the relationship among tooth sensitivity, light activation, and agent concentration, and it correlated dental sensitivity with tooth thickness.
MATERIALS AND METHODS: Eighty-seven volunteer patients were included. Inclusion criteria were the presence of anterior teeth without restorations as well as the absence of a previous bleaching experience and absence of noncarious cervical lesions or dental pain. Exclusion criteria included pregnancy or breastfeeding, a maximum of TF3 hypoplasia, tetracycline-fluorosis stains, malpositioned teeth, orthodontic treatment, periodontal disease, and/or analgesic/anti-inflammatory intake. Patients were randomly assigned to three bleaching groups: Group A (n=25) was treated with 15% H2O2 and nitrogenous-titanium-dioxide and was light activated (Lase Peroxide Lite, DMC, SaoCarlos, Sao Paulo, Brazil); Group B (n=27) was treated with 35% H2O2 and was light activated (Lase Peroxide Sensy, DMC); and Group C (n=35) was treated with 35% H2O2 (White Gold Office, Dentsply, 38West Clark Ave., Milford, USA) without light activation. Tooth sensitivity (TS) was self-reported by the patients using the visual analog scale (VAS) at baseline (TS0), immediately after treatment (TSI), and at seven days after treatment (TS7). In 46 patients, tooth thickness was determined by computed tomography. TS0, TSI, and TS7 were compared between the A and B groups to determine the effect of concentration and between the B and C groups to determine the effect of light using analysis of covariance. The correlation between tooth thickness and TSI was determined by Spearman Rho test (SPSS 15).
RESULTS: Eighty-seven patients were evaluated at baseline, and 61 were evaluated at seven days. Separated by groups, tooth sensitivity, expressed as VAS value at the time points TS0, TSI, and TS7, respectively, were as follows: Group A: 13.76 +/- 13.53, 24.40 +/- 25.24, and 5.94 +/- 5.5; Group B: 15.07 +/- 18.14, 42.4 +/- 31.78, and 8.68 +/- 17.99; and Group C: 10.80 +/- 14.83, 31.51 +/- 29.34, and 7.24 +/- 9.2. Group A showed significantly lower tooth sensitivity than group B at TSI (p=0.032). No differences were observed in the tooth sensitivities between groups B and C. No correlation was encountered between tooth thickness and tooth sensitivity immediately after treatment (Rho=-0.088, p=0.563). The median tooth thickness was 2.78 +/- 0.21 mm.
CONCLUSIONS: Increases in the concentration of bleaching agents directly affect tooth sensitivity, and LED/laser activation and tooth thickness are not correlated with tooth sensitivity after dental bleaching.",0,0.0
Maternal periodontal disease in rats decreases insulin sensitivity and insulin signaling in adult offspring.,"Background: Periodontal disease during pregnancy has been recognized as one of the causes of preterm and lowbirth- weight (PLBW) babies. Several studies have demonstrated that PLBW babies are prone to developing insulin resistance as adults. Although there is controversy over the association between periodontal disease and PLBW, the phenomenon known as programming can translate any stimulus or aggression experienced during intrauterine growth into physiologic and metabolic alterations in adulthood. The purpose of the present study is to investigate whether the offspring of rats with periodontal disease develop insulin resistance in adulthood. Method(s): Ten female Wistar rats were divided into periodontal disease (PED) and control (CN) groups. All rats were mated at 7 days after induction of periodontal disease. Male offspring were divided into two groups: 1) periodontal disease offspring (PEDO; n = 24); and 2) control offspring (CNO; n = 24). Offspring body weight was measured from birth until 75 days. When the offspring reached 75 days old, the following parameters were measured: 1) plasma concentrations of glucose, insulin, fructosamine, lipase, amylase, and tumor necrosis factor-alpha (TNF-alpha); 2) insulin sensitivity (IS); and 3) insulin signal transduction (IST) in insulin-sensitive tissues. Result(s): Low birth weight was not detected in the PEDO group. However, plasma concentrations of glucose, insulin, fructosamine, lipase, amylase, and TNF-alpha were increased and IS and IST were reduced (P <0.05) in the PEDO group compared with the CNO group. Conclusion(s): Maternal periodontal disease may induce insulin resistance and reduce IST in adult offspring, but such alterations are not attributable to low birth weight.",0,0.0
Education as a predictor of chronic periodontitis: A systematic review with Meta-Analysis Population-Based studies.,"Background: The impact of socioeconomic inequalities on health is well-documented. Despite the links of periodontal disease with cardiovascular diseases, adverse pregnancy outcomes and diabetes, no meta-analysis of socioeconomic variations in periodontal disease exists. This meta-analytic review was conducted to determine the extent to which education attainment influences risk of periodontitis in adults aged 35+ years in the general population. Method(s): The authors searched studies published until November 2010 using EMBASE and MEDLINE databases. References listed were then scrutinised, our own files were checked, and, finally, we contacted experts in the field. The authors included only general population-based studies conducted in adults aged 35 years and more. All articles were blind reviewed by two investigators. In the case of disagreement, a third investigator arbitrated. Using PRISMA statement, two reviewers independently extracted papers of interest. Result(s): Relative to the higher education group, people with low education attainment experience a greater risk of periodontitis (OR: 1.86 [1.66-2.10]; p<0.00001). The association was partially attenuated after adjustment for covariates (OR: 1.55 [1.30-1.86]; p<0.00001). Sensitivity analyses showed that methods used to assess periodontitis, definition of cases, study country and categorization of education are largely responsible for the heterogeneity between studies. No significant bias of publication was shown using both the Egger (p = 0.16) and rank correlation tests (p = 0.35). Conclusion(s): In the studies reviewed, low educational attainment was associated with an increased risk of periodontitis. Although this evidence should be cautiously interpreted due to methodological problems in selected studies, efforts to eliminate educational inequalities in periodontitis should focus on early life interventions. © 2011 Boillot et al.",0,0.0
Periodontal disease and nitric oxide levels in low risk women with preterm labor.,"Objectives: The aims of the study were to evaluate the possible association between periodontal disease (PD) and preterm labor (PTL), to assess whether the presence of periodontal disease in women with PTL increases the risk of preterm birth (PTB), and to evaluate the role of nitric oxide (NO) in this possible association. Study design: This study included 820 nulligravid women with low risk socioeconomic status: 400 cases with PTL and 420 controls with normal pregnancy, between 25 and 33 weeks + 6 days of weeks' gestation. At enrollment, periodontal examination and detection of plasma, gingival and cervical NO levels were performed. We compared the periodontal status of the two groups; we detected the presence of PD and compared NO levels. We then followed the outcome of women with PTL and compared obstetric status and PTB rate between patients with and without PD. Result(s): Logistic regression analysis revealed a strong association between PD and PTL (adjusted odds ratio: 2.83, 95% confidence interval (CI) 1.86-4.23; P < 0.0001). Non parametric Mann-Whitney U-test demonstrated significant differences in gingival and cervical NO levels between women with PTL and controls (respectively, median 85.1 mumol/L, interquartile range (i.r.) 51.2-177 vs median 50.5 mumol/L, i.r. 34.5-109.65, P < 0.0001; and median 102 mumol/L, i.r. 53.05-182.7 vs median 38.9 mumol/L, i.r. 32.87-46.1, P < 0.0001). The ability of mean-gingival NO levels to predict PTL was examined by ROC curve analysis: the area under the curve was 0.817 (95% CI 0.774-0.854; P < 0.0001). The cut-off level for the greatest sensitivity and specificity for mean-gingival NO levels was 116.04 mumol/L (sensitivity 0.57, specificity 0.94). Positive and negative predictive values were, respectively, 90.65% and 69.73%. Among women with PTL, the risk of PTB increased in women with PD (adjusted relative risk: 3.85, 95% CI 2.11-6.06; P < 0.0001). Conclusion(s): In this tested population, PTL is associated with PD. The presence of PD in women with PTL increases the risk of premature delivery. NO may be a new marker to explain this association. © 2011 Elsevier Ireland Ltd.",0,0.0
Maternal periodontal disease promotes decrease of insulin sensitivity and insulin signal in adult offspring.,"The periodontal disease (PD) during pregnancy has been referred as one of the causal factors for preterm birth and low weight at birth. And several other studies have shown that low body weight at birth babies are more likely to develop insulin resistance (IR) in adult life. Studies have shown that both PD as the increase in adipose tissue raises the level of plasmatic cytokines. And cytokines such as TNF-a cause IR. Several studies have shown that both the decrease in ""tyrosine phosphorylation status of insulin receptor substrates"" (TyPIRS) and the increase in ""serine phosphorylation insulin receptor substrate"" (SP-IRS) status are present in experimental models of IR. This study aimed to evaluate in adult offspring of female rats with PD: (1) glycemia (G) and insulinemia (I), cholesterolemia (CH); (2) Ty-IRS and SP-IRS status, in white adipose tissue (WAT). Therefore, 20 female Wistar rats (210 g bw) were divided into two groups: (1) with PD, that was induced by a suture ligature placed around teeth; (2) control rats (CN). After 7 days of the placement of the ligature in the PD group, the rats of both groups were placed for mating. After the offspring birth, male offspring were divided into two groups: (1) PDO group, offspring from female rats with PD; (2) CNO group, offspring of CN female rats. When these rats completed 75 days of age, the evaluation of G, I, CH, and Ty-IRS and SP-IRS status in WAT was performed. The PDO showed significant (p<0,05) increase in plasma concentrations of: CH, G and I compared to CNO. From these values (G and I), the ratio G/I was calculated, by which it was found IR at group PDO. And the PDO group had significant (p<0,05) reduction in Ty-IRS status, in WAT, in addition there was a significant increase (p<0.05) in IRS SP-IRS status in PDO group. Maternal periodontal disease during pregnancy promotes insulin resistance, decreases insulin signal and changes in cholesterol, insulin and glucose levels in the adulthood offspring.",0,0.0
Inadequate maternal serum vitamin D levels is associated with maternal inflammation.,"Background: Vitamin D is an immune modulator that promotes Th1/Th2 cytokine balance in healthy states. Inadequate maternal vitamin D status has been associated with periodontal disease, an infectious and infl ammatory condition that affects up to 40% of pregnant women. Objective(s): To measure the association between maternal vitamin D status and infl ammatory cytokine levels in early pregnancy. Method(s): We performed a secondary analysis of data from a case-control study of periodontal disease and maternal serum vitamin D status. Women had serum collected at < 26 weeks' gestation. Serum 25-hydroxyvitamin D (25{OH}D) levels were measured using liquid chromatography-tandem mass spectrometry. Inadequate vitamin D status was defi ned as < 75 nmol/L. Maternal serum C-reactive protein(CRP), interleukin(IL)-6, and tumor necrosis factor(TNF)- alpha,were measured using highly sensitive ELISA and log transformed for statistical analysis. Levels were compared between women with adequate and inadequate vitamin D status, with P<.05 considered statistically signifi cant. Result(s): 197 women were studied; 99 with adequate and 98 with inadequate vitamin D status. Women with inadequate vitamin D status were more likely to be African-American, otherwise the groups were comparable. Women with inadequate vitamin D levels had signifi cantly higher CRP level (P<.05); serum Log CRP level (ng/ml, y-axis) was negatively associated with vitamin D level (nmol/L, x-axis)(Figure). No signifi cant differences in IL-6 or TNF-alpha were noted. Conclusion(s): Inadequate maternal vitamin D status is associated with higher CRP levels, which may explain the relationship between vitamin D status and periodontal disease among pregnant women.",0,0.0
Evaluation of insulin sensitivity and insulin signal transduction in adult offspring of female rats with periodontal disease.,"Results: The periodontal disease during pregnancy has been referred as one of the causal factors for preterm birth and low birth weight. And several other studies have shown that low body weight at birth (LBWB) babies are more likely to develop insulin resistance in adult life. However, we haven't found a study in the literature that correlates directly maternal periodontal disease (PD), offspring with LBW and later development of diabetes in these offspring. This study aimed to investigate the body weight at birth (BWB), insulin sensitivity (IS) and insulin signal transduction (IST) in adult offspring of female rats with PD. Therefore, 20 female Wistar rats (200g bw) were divided into two groups: 1) with PD, in which the disease was induced by a silk suture ligature placed around mandibular teeth; 2) rats submitted only to a dental movement (SHAM). After 7 days of the placement of the ligature in the PD group, the rats of both groups were placed for mating. After the offspring birth, male offspring were divided into two groups: 1) the control group (CN), offspring of SHAM female rats; 2) the experimental group (PD Offspring), offspring from female rats with PD. When these rats completed 75 days of age, the evaluation of the IS (by intravenous insulin tolerance test) and IST (by Western Blotting method) in gastrocnemius muscle (G) and periepididimal white adipose tissue (WAT), were performed after insulin administration. The PD Offspring showed decrease in: 1) IS (Glucose disappearance speed rate: CN=4,3A+/-0,3 vs PD Offspring=3,2A+/-0,1% min), 2) IST in G and in WAT (G: CN=374,3A+/-35,2 vs PD Offspring=264,4A+/-22,9; WAT: CN=160,1A+/-9,6 vs PD Offspring =119,1A+/-10,3 arbitrary units/mug of protein), and no difference in BWB (CN=6,1A+/-0,08 vs PD Offspring =6,2A+/-0,1 g) when compared to control group CN. Therefore, we found that periodontal disease in mothers can help the developoment of the diabetes mellitus in their offspring in the adult life, but this disease is not only consequence of LBWB. From these results we can emphasize the importance of preventing a local disease such as Periodontal Disease, in order to prevent a chronic disease such as Diabetes Mellitus.",0,0.0
Screening for periodontitis in pregnant women with salivary enzymes.,"Aim: To develop a test for the screening of pregnant women for periodontitis using saliva prior to a dental examination. Method(s): A cross-sectional research design was employed. Whole unstimulated saliva was collected from 221 pregnant women prior to a dental examination at the Amagasaki Public Health Office and levels of activity of lactate dehydrogenase (LDH) and alkaline phosphatase (ALP), and of occult blood in the saliva were measured. The data were compared with Community Periodontal Index of Treatment Needs (CPITN) scores. The diagnostic performance of LDH, ALP, and occult blood was determined in terms of sensitivity, specificity, and the area under receiver operating characteristics (ROC) curves. The optimal combination of parameters for screening periodontitis was determined at maximum sensitivity and specificity. Result(s): Periodontitis (CPITN 3, 4) in 19 women (8.6%) and gingivitis (CPITN 1, 2) in 129 women (58.4%) were observed. The activity levels of LDH and ALP were significantly higher in the pregnant women with periodontitis than those with gingivitis or a healthy periodontium. To distinguish between the pregnant women with periodontitis and the others, a cut-off value of 684 IU/L for LDH and of 75 IU/L for ALP were determined by a ROC analysis. The test combining LDH, ALP, and occult blood showed the highest diagnostic performance; with a sensitivity value of 0.90, specificity value of 0.62, positive predictive value of 0.18, and negative predictive value of 0.98. Conclusion(s): A test combining the parameters salivary LDH, ALP and occult blood is useful for screening pregnant women for periodontitis. © 2007 The Authors.",1,1.0
Periodontal disease early in pregnancy is associated with maternal systemic inflammation among African American women.,"Background: Maternal periodontal disease is a chronic oral infection with local and systemic inflammatory responses and may be associated with adverse pregnancy outcomes. This study determined whether maternal periodontal disease in early pregnancy is associated with elevated serum C-reactive protein (CRP) levels and whether maternal race influences the relationship between maternal periodontal disease and systemic inflammatory responses. Method(s): A secondary analysis of prospectively collected data from the Oral Conditions and Pregnancy study was conducted. Healthy women at <26 weeks of gestation underwent an oral health examination and had blood collected. Periodontal disease was categorized by clinical criteria, and maternal serum was analyzed for CRP levels using highly sensitive enzyme-linked immunosorbent assay kits. An elevated CRP level was defined as >75th percentile. Demographic and medical data were obtained from the women's charts. Chi-square and multivariable logistic regression models were used to determine maternal factors associated with an elevated CRP. An adjusted odds ratio (OR) for elevated CRP levels was calculated and stratified by race and periodontal disease category. Result(s): The median (interquartile) CRP level was 4.8 (0.6 to 15.7) mug/ml, and an elevated CRP level (>75th percentile) was 15.7 mug/ml. African American race and moderate/severe periodontal disease were significantly associated with elevated CRP levels. When stratified by race, moderate/severe periodontal disease remained associated with an elevated CRP level among African American women (adjusted OR: 4.0; 95% confidence interval [CI]: 1.2 to 8.5) but not among white women (adjusted OR: 0.9; 95% CI: 0.2 to 3.6) after adjusting for age, smoking, parity, marital status, insurance status, and weight. Conclusion(s): Among African American women, moderate/severe periodontal disease is associated with elevated CRP levels early in pregnancy.",0,0.0
Self-reported periodontal disease: Validation in an epidemiological survey.,"Background: Evidence is accumulating to support poor oral health as a risk factor for systemic conditions, including cardiovascular diseases, diabetes control, adverse pregnancy outcomes, and pneumonia. Prohibitive costs for clinical assessment of periodontal disease limit information to assess the prevalence and trends of periodontal diseases in the United States population. However, self-report is used widely to assess economically the population-based prevalence of various medical conditions and health-related behaviors and characteristics. Method(s): The goal of this secondary data analysis was to identify self-report items sufficiently correlated with clinical periodontal disease for use via face-to-face or telephone interviews. Data for analysis were collected for a project focused on oral health that included face-to-face interview items regarding oral health-related self-care, professional care, and barriers; knowledge, beliefs, and attitudes; risk behavior; impact on quality of life; and demographic characteristics. Also, participants had complete oral examinations. Result(s): Logistic regression analyses identified self-reported items contributing to two sets of models predicting moderate or severe periodontal disease (MODSEV) and severe periodontal disease (SEV). Age, gender, race/ethnicity, smoking, and periodontal health-related self-report items constituted predictive models with maximum sensitivity and specificity of 71% and 83%, respectively, with area under the receiver operating characteristic curve (AUC) of 0.85 (as a measure of accuracy) for MODSEV. For SEV, predictive models' maximum sensitivity and specificity were 92% and 53%, respectively, with a maximum AUC of 0.92. Conclusion(s): These analyses suggest that self-report may be valid for surveillance of periodontal disease burden and trends in the American population, in lieu of more costly clinical periodontal examinations.",0,0.0
Efficacy variation of erythromycin and spiramycin on periopathogens in aggressive periodontitis. An in vitro comparative study. [French],"Aims. - Erythromycin (ERY) and spiramycin (SPI) are the most frequently prescribed macrolides by dentists. However, the emergence of resistant anaerobic subgingival bacteria imposes an increased vigilance. This study aims to compare these macrolides efficacy on principal periopathogens. Materials and methods. - Twenty adult patients with aggressive periodontitis were selected and a total of 60 samples were taken from subgingival flora. Bacterial strains of Porphyromonas gingivalis, Prevotella intermedia, Tannerella forsythia, Fusobacterium nucleatum, Peptostreptococcus micros and Actinobacillus actinomycetemcomitans were isolated according to J. Slots's rapid identification method. The susceptibilities to ERY and SPI were studied using disk diffusion susceptibility test and minimum inhibitory concentration test (MIC test). Results. - The efficiency variability of ERY and SPI on the 50 isolated anaerobic periopathogens was present either interindividually (between different patients) and intra-individually (within the same patient). While 68% of the tested anaerobic bacteria were sensitive to SPI (22% resistant), only 54% were sensitive to ERY (34% resistant). Although moderate, the efficacy of SPI seemed more regular in general than ERY: it's variation coefficient (40%) is lower than the ERY one (53%). The 7 A. actinomycetemcomitans tested showed all a high resistance. Conclusion. - In a general way, the spectre of activity of SPI is stacked in that of ERY. However, this study shows a better and regular activity of SPI on the main tested periopathogens. These results are in favour of the use of SPI in periodontology when penicillins and doxycycline are not useful because specific problems are identified (allergy, pregnancy...). © 2005 Elsevier SAS. Tous droits reserves.",0,0.0
Periodontitis and type 2 diabetes among women with previous gestational diabetes: epidemiological and immunological aspects in a follow-up of three years,"Periodontitis can contribute to the development of insulin resistance. Gestational diabetes is a risk factor for type 2 diabetes. Therefore, periodontitis, when associated with gestational diabetes, could increase the risk for the development of type 2 diabetes after pregnancy. Objective The aim of this study was to verify the incidence on the development of type 2 diabetes in women with previous gestational diabetes with and without periodontitis after a three-year time interval. Material and Methods Initial sample of this follow-up study consisted of 90 women diagnosed with gestational diabetes who underwent periodontal examination. After three years, 49 women were subjected to new periodontal examination and biological, behavioral, and social data of interest were collected. Additionally, the quantification of the C-reactive protein in blood samples was performed. Fasting glucose and glycated hemoglobin levels were requested. Saliva samples were collected for quantification of interleukin 6 and 10, tumor necrosis factor α, matrix metalloproteinase 2 and 9. Results The incidence of type 2 diabetes mellitus was 18.4% and of periodontitis was 10.2%. There was no significant difference in the incidence of type 2 diabetes mellitus among women with and without periodontitis. It was observed impact of C-reactive protein in the development of type 2 diabetes mellitus. However, it was not observed impact of periodontitis on the development of type 2 diabetes mellitus among women with previous gestational diabetes. Conclusions It was not observed impact of periodontitis on the development of type 2 diabetes among women with previous gestational diabetes. The impact of C-reactive protein in the development of type 2 diabetes mellitus highlights the importance of an inflammatory process in the diabetes pathogenesis.",0,0.0
"Relationship among Periodontal Disease, Insulin Resistance, Salivary Cortisol, and Stress Levels during Pregnancy","Pregnancy is a period involving important metabolic changes that enable the maintenance of the mother's health and development of the fetus. This study aimed to assess the relationship among periodontal disease, insulin resistance, salivary cortisol concentration and level of perceived stress in pregnant women. This was a cross-sectional study. The sample comprised 96 pregnant women between the fifth and seventh month of pregnancy registered at the Basic Health Units of the Unified Health System (SUS). The periodontal condition was assessed after obtainment free and informed consent from the participants. Participants were divided into three groups: control subjects with a healthy periodontal condition (CN; n=46), patients with gingivitis (GI; n=26), and patients with periodontitis (PI; n=24). Saliva and blood samples were collected for evaluation of salivary cortisol concentration, glycemia, insulinemia and Homeostasis Model Assessment-Insulin Resistance index. A validated survey for the assessment of perceived stress levels was also performed. PI group showed significantly higher (p<0.05) blood glucose levels (CN: 4.43±0.05; GI: 4.46±0.04; PI: 4.68±0.08), insulinemy (CN: 6.93±0.45; GI: 8.87±0.79; PI: 12.77±1.30), insulin resistance (CN: 1.40±0.10; GI: 1.81±0.18; PI: 2.66±0.29) compared with the CN and GI groups. The levels of perceived stress were higher (p<0.05) in PI and GI groups when compared to CN group (CN: 20.5±1.26; GI: 25.8±1.95; PI: 26.6±1.36). There was no significant difference in the concentration of salivary cortisol between the groups (CN: 11.13±0.58; GI: 11.96±0.74; PI: 11.47±0.74). It was concluded that there is a relationship between higher levels of perceived stress, insulin resistance and the occurrence of periodontal disease during pregnancy. This study emphasizes the importance of preventing periodontitis in order to avoid insulin resistance and stress during pregnancy since these can cause systemic complications for the mother and the fetus.",0,0.0
La periodontitis como factor de riesgo de preeclampsia / Periodontitis as a risk factor for preeclampsia,"Objective: To know if periodontitis is a risk factor for developing preeclamsia during pregnancy and to determine if C reactive protein plays a role as an inflamatory mediator in this condition. Method: A case control study was performed with to groups of patients. One group was pregnant patients with preeclamsia (cases n=20), the other pregnant without preeclampsia (control n=30), periodontitis and C reactive protein was assessed in both groups. Results: Of the total of the patients 80 % had chronic periodontitis while 20 % had pregnacy gingivitis. 15 patients of the preeclampsia group had chronic periodontitis, while 25 patients of the control group had chronic periodontitis (OR 0,6; IC 95 % 0,148-2,421). Levels of C reactive protein show no difference between groups. Conclusions: No relation between chronic periodontitis and the risk of developing preeclampsia was found. Significance of high levels of C reactive protein was not assessed in preeclamptic patients.",0,0.0
"Asociación entre periodontitis crónica, interleuquina -6 (IL-6) e índice de masa corporal (IMC) en embarazadas / Association between chronic periodontitis, interleukin-6 (IL-6) and body mass index (BMI) in pregnant women","Objective: To determine if maternal periodontal clinical status, body mass index (BMI) and its variation during pregnancy are associated with increased levels of interleukin-6 (IL-6), tumor necrosis factor alpha (TNF-) and C-reactive protein (CRP) in plasma. Material and Methods: This clinical study included a total of 56 pregnant women between 18 and 38 years old (mean 27.9 +/- 7.04 years), referred from perinatal medicine unit at health care center Universidad de los Andes. All pregnant patients consented to voluntarily participate in the study. In each trimester of pregnancy, they underwent a complete periodontal examination, involving the determination of clinical attachment levels, probing depth, bleeding and hygiene index at six sites of each tooth, excluding third molars. Additionally, in each clinical check, peripheral blood samples were taken for determination of pro-inflammatory mediators with ELISA immunoassay. Periodontal diagnosis and inflammatory mediators were the variables analyzed in relation to changes in BMI during pregnancy. Results: Pregnant women with chronic periodontitis had an increase and more variation of BMI (p=0.039) and higher levels of IL-6 (p=0.026) in comparison with pregnant women with gingivitis. Conclusions: In this series of pregnant patients the clinical diagnosis of periodontitis, with an increase in BMI are associated with increased plasma levels of IL-6 and CRP.",0,0.0
Niveles de proteína c-reactiva en gestantes con y sin periodontitis crónica del Instituto Nacional Materno Perinatal / C-reactive protein levels in pregnant women with and without chronic periodontitis in Maternal Perinatal National Institute,"Objective. To asses plasma CRP levels in pregnant women with and without chronic periodontitis taking into account the covariate genito urinary infection C-reactive protein (CRP) has been implicated as a possible systemic inflammatory mediator of the association of periodontitis and adverse pregnancy outcomes. Material and method. The levels of PC-R were measured with immuno turbidimetric technique to a total of 48 pregnant women, 33 with chronic periodontitis and 15 without chronic periodontitis according to the criteria of the American Academy of Periodontology. Results. Significative differences were found (p=0,04), in the CRP level in pregnant women with periodontitis (5.13±4.47 mg/L and without chronic periodontitis (3.05±2.41 mg/L. We found statistical significant differences between the groups. Conclusion. Chronic periodontitis plays an important role in increasing levels of C-reactive protein and this may mediate the relationship between periodontitis and adverse pregnancy outcomes.",0,0.0
Efeito do tratamento periodontal não cirúrgico nos níveis de proteína C reativa em grávidas com periodontite: estudo piloto / Effect of nonsurgical periodontal therapy in serum levels of C reactive protein in pregnant women with periodontitis: pilot study,"Este trabalho avaliou o efeito da terapia periodontal não cirúrgica nas concentrações da proteína C reativa (CRP) no sangue de grávidas. O grupo com periodontite era composto por 23 grávidas com pelo menos 4 sítios com nível de inserção à sondagem (NIS) 3mm, sendo que 12 (33.5 ± 4.7 anos) receberam terapia periodontal (PCT) e 11 (25.3 ± 5.4 anos) não receberam intervenção periodontal (PST). Sete grávidas (24.1 ± 5.9 anos) foram utilizadas como grupo controle sem periodontite. O exame clínico periodontal foi constituído de profundidade de bolsa à sondagem (PBS) e NIS. As análises da CRP foram feitas através de ELISA no sangue periférico. O tratamento periodontal incluiu instruções de higiene oral, raspagens e alisamento radicular em sessão única. A freqüência de PBS 4mm e NIS 3 mm nos grupos PCT e PST foram significativamente maiores do que no grupo controle (p<0.01). O grupo PCT apresentava a freqüência de PBS 3 6mm e NIS3 6mm significativamente maior que o grupo PST (p<0.01). No dia 0, os níveis da CRP se encontravam significantemente maiores do grupo PCT quando comparados ao PST (p=0.001) e ao controle (p=0.004). No grupo PCT, os níveis de CRP baixaram após o tratamento periodontal, sem atingir significância. Porém, no grupo PST houve uma tendência ao aumento nos níveis de CRP (p=0.06). Sendo assim, podemos concluir que a terapia periodontal pode ter evitado a elevação dos níveis sérios de CRP em grávidas com periodontite.",0,0.0
Enfermedad periodontal: una nueva clasificación / Periodontal disease: a new classification,"La enfermedad periodontal sigue siendo una de las patologías de mayor incidencia en la población en general, además de ser una de las causantes de pérdida de dientes, se considera como un factor de riesgo para ciertas enfermedades sistémicas. La enfermedad se presenta afectando a los tejidos que rodean el diente; su diagnóstico acertado es de gran importancia para su adecuado tratamiento y en especial en las etapas tempranas de la enfermedad. Los sistemas de clasificación son necesarios en orden de proveer un marco el cual científicamente estudia la etiología, patogénesis y el tratamiento en una forma ordenada. La Academia Americana de Periodoncia en 1999 realizó el taller sobre clasificación enfermedad periodontal, publicando una nueva clasificación, que está siendo adoptada por la mayoría de los odontólogos, y creemos que es importante que la demos a conocer y difundir para un mejor entendimiento de esta patología. La nueva clasificación divide a la enfermedad periodontal en: enfermedad gingival, periodontitis crónica, periodontitis agresiva, periodontitis como manifestación de enfermedad sistémica, enfermedad periodontal necrotizante, absceso periodontal, periodontittis asociada con lesiones endodónticas y las condiciones o deformidades del desarrollo adquiridas de los tejidos periodontales. Este artículo resume cada una de las anteriores entidades, exponiendo sus principales características para su diagnóstico",0,0.0
Environmental Fungi Modulate the Vaginal Mycobiome and Cervical Disease Progression in Hispanic Women,"The vaginal mycobiome, though a minor component of the cervicovaginal ecosystem, plays a crucial role in reproductive health and disease. However, its composition and interactions with bacterial communities remain poorly understood, particularly among Hispanic women, who experience disproportionately high rates of Human papillomavirus (HPV) infection and cervical cancer. We characterized the vaginal mycobiota across reproductive stages and examined its associations with cervical disease, HPV status, and bacterial community state types (CSTs) in 86 Hispanic participants from Puerto Rico using ITS1 amplicon sequencing. Amplicon sequence variants were inferred with QIIME2/DADA2 and taxonomically classified using the UNITE database, with diversity and discriminant taxa analyses applied to explore clinical and microbial associations. We detected 173 fungal Species Hypotheses, dominated by Candida albicans , Agaricomycetes sp., Scopuloides dimorpha , and Hortaea werneckii . While fungal composition did not differ significantly by reproductive stage, non-pregnant individuals exhibited greater inter-individual variability. Alpha diversity was reduced in high-grade squamous intraepithelial lesions compared with low-grade or normal cytology, and Candida parapsilosis prevalence was elevated in low-grade lesions. CST III, characterized by Lactobacillus iners dominance, showed greater dispersion variance than other CSTs. Collectively, these findings reveal a diverse vaginal mycobiome with stage- and disease-specific features, and a notable contribution of environmental fungi that may influence cervical pathogenesis. This work provides foundational insight into cervicovaginal fungal ecology in a high-risk Hispanic population and highlights the importance of integrating bacteriome–mycobiome analyses in women’s health research.",0,0.0
Global Trends in Adolescent Health Inequalities and Their Social Determinants: A Bibliometric and Scoping Review,"Objective: To conduct a scoping review of the global trends of adolescent health inequities and their social determinants from 2000 to 2024 and establish an evidence base for developing targeted intervention strategies. Methods: Guided by the rainbow model, we conducted a bibliometric analysis of 171 peer-reviewed articles related to adolescent health inequalities and their social determinants from the Web of Science Core Collection using CiteSpace 6.3.1 to summarize empirical evidence on how social determinants of health (SDOH) influence adolescents’ health behaviors (e.g., drinking) and health outcomes (e.g., overweight). Results: First, results showed a progressive increase in publications addressing social determinants of adolescent health from 2000 to 2024. Journals in public health and preventive medicine accounted for the highest proportion of articles, with the United States contributing the largest national share (21.05% of global output). Second, an analysis of keywords showed that previous studies mostly focused on the effects of socioeconomic status, family affluence on adolescent health (e.g., physical activity, mental health, and overweight). Third, inequalities in adolescent health were prevalent globally. Health behaviors (e.g., diet, oral health, and smoking) have received widespread attention and are influenced by socioeconomic status, family environment, and gender, whereas various indicators of adolescent health outcomes (e.g., obesity, mental health, and suicide) were highly correlated with family socioeconomic status. Conclusions: To reduce adolescent health disparities, it is important to deepen interdisciplinary research, consider the impact of emerging societal (e.g., digital environments) and environmental factors (e.g., climate change), and develop systematic and comprehensive intervention strategies that encompass the individual, family, school, community, and national levels.",0,0.0
