Title,Relevance
5986. Automating document discovery in the systematic review process How to use chaff to extract wheat (2019),0
6006. Twister A Tool for Reducing Screening Time in Systematic Literature Reviews (2018),1
6090. Technology-assisted title and abstract screening for systematic reviews A retrospective evaluation of the Abstrackr machine learning tool (2018),1
6098. Automated screening of research studies for systematic reviews using study characteristics (2018),1
6132. SWIFT-Review A text-mining workbench for systematic review (2018),1
6250. SESRA - A web-based automated tool to support the systematic literature review process (2015),0
6282. Automating data extraction in systematic reviews A systematic review (2015),0
629. Enhancing systematic reviews An in-depth analysis on the impact of active learning parameter combinations for biomedical abstract screening (2024),1
632. Are Systematic Reviews and Meta-Analyses Obsolete in the Era of Artificial Intelligence (2024),0
6331. SLuRp - A tool to help large complex systematic literature reviews deliver calid and rigorous results (2012),1
634. Harnessing artificial intelligence for efficient systematic reviews A case study in ecosystem condition indicators (2024),1
6355. Systematic review tool to support the establishment of a literature review (2014),0
6369. Automatic text classification to support systematic reviews in medicine (2014),1
6421. Semi-automated screening of biomedical citations for systematic reviews (2010),1
694. Usability and agreement of the SWIFT-ActiveScreener systematic review support tool Preliminary evaluation for use in clinical research (2024),1
721. Automating Systematic Literature Reviews with Retrieval-Augmented Generation A Comprehensive Overview (2024),1
750. Literature search sandbox a large language model that generates search queries for systematic reviews (2024),1
766. SyROCCo Enhancing systematic reviews using machine learning (2024),1
770. Considerations for conducting systematic reviews A follow-up study to evaluate the performance of various automated methods for reference de-duplication (2024),0
780. Towards a Literature Review Methodology A Practical Guide in the Context of Using Artificial Intelligence in Education (2024),0
79. Leveraging ChatGPT AI Model in Academic Writing and Avenues for Further Development SWOT Framework (2025),0
"83. AI-pocalypse now Automating the systematic literature review with SPARK (Systematic processing and automated review Kit) – gathering, organising, filtering, and scaffolding (2025)",1
863. Artificial intelligence for literature reviews opportunities and challenges (2024),1
910. Implementation and evaluation of an additional GPT-4-based reviewer in PRISMA-based medical systematic literature reviews (2024),1
