Title;Abstract;Relevance
systematic review of psychosocial benefits obtained with interventions to promote active commuting in schools;Active commuting to schools has decreased in the last few years. The main objectives of this review were to determine which interventions are being carried out to promote active commuting, to know the quality of the research, and to analyze which psycosocial parameters can be improved. The bibliographic search was carried out in the databases of Medline, Sport Discus, Scopus, Web of Science, and Google Scholar... Finally, there were selecting a total of 23 investigations. The most frequent action is to implement programs to promote active commuting (91.30%). There are few data as yet on interventions, and approximately half of the studies fail to improve active commuting data (47.83%). Psychosocial health is not just studied only 1 study tested variables of psychosocial health. It is important to increase the number of studies, to randomize them, control external contaminants, increase the duration, and increase the psychosocial health studies.;1
evidence based policy for promoting cycle use in britain;;1
planning for cycling in the dispersed city: establishing a hierarchy of effectiveness of municipal cycling policies;Urban utility cycling is being promoted widely due to various health, social, economic and environmental benefits. This study seeks to identify and rank which municipal-level policies and other factors are most influential in increasing cycling as a means of everyday transport and improving the real and perceived cycling safety in car-oriented urban centres. This is achieved by identifying the key factors thought to influence cycle use and by establishing a hierarchy of effectiveness of municipal cycling policies. Data was collected through interviews with a panel of experts who also completed a Delphi study, a technique rarely used in cycling policy research, to collect and compare expert opinions to predict the outcomes of policies and external factors. Policies and external factors were scored in a theoretical policy framework according to their perceived relative influence on cycling levels and cycling safety. The results reinforce previous findings in the literature but allow for generalisation in car-oriented urban centres due to the breadth of factors evaluated. It was found that providing cycling infrastructure is perceived to be a prerequisite for inducing utility cycling mode share. External factors such as urban form, the relative attractiveness of cycling to travel by car and wider governmental policy were perceived to have a strong influence. The generation and maintenance of political and public support is also suggested to be critical success factor.;1
building and testing an evaluation model of the impact of cycling policies;;1
beyond cycle lanes and large-scale infrastructure: a scoping review of initiatives that groups and organisations can implement to promote cycling for the cycle nation project;Background/objectives Cycling has well-established positive relationships with health. Evidence suggests that large-scale infrastructure and built-environment initiatives to promote cycling are likely to be necessary but not sufficient to maximise cycling participation. Smaller-scale initiatives that can be implemented by organisations (eg, employers) and groups (eg, community groups) are therefore also important, but the full range of feasible activities to promote cycling is not known. We aimed to scope the literature and map organisational, social and individual level activities to increase cycling. Methods Design: Scoping review following an established five-stage process. Eligibility criteria: Studies or publicly available reports describing cycling promotion initiatives deemed feasible for organisations or groups to implement. Sources of evidence and selection: (i) online databases (Ovid (Medline), Ovid (Embase), SportDISCUS (Ebscohost), ProQuest, Web of Science), (ii) existing systematic reviews, (iii) expert stakeholder consultation. Results We extracted data from 129 studies and reports, from 20 different countries, identifying 145 cycling promotion initiatives. From these initiatives we identified 484 actions within 93 action types within 33 action categories under the nine intervention functions described by Michie et al. Environmental restructuring (micro-level), enablement, education and persuasion were the functions with the most action types, while coercion, modelling and restriction had the fewest action types. Conclusion This is the first comprehensive map to summarise the broad range of action types feasible for implementation within organisation/group-based cycling promotion initiatives. The map will be a critical tool for communities, employers, practitioners and researchers in designing interventions to increase cycling.;1
improving health through policies that promote active travel: a review of evidence to support integrated health impact assessment;"Background: Substantial policy changes to control obesity, limit chronic disease, and reduce air pollution emissions, including greenhouse gasses, have been recommended. Transportation and planning policies that promote active travel by walking and cycling can contribute to these goals, potentially yielding further co-benefits. Little is known, however, about the interconnections among effects of policies considered, including potential unintended consequences. Objectives and methods: We review available literature regarding health impacts from policies that encourage active travel in the context of developing health impact assessment (HIA) models to help decision-makers propose better solutions for healthy environments. We identify important components of HIA models of modal shifts in active travel in response to transport policies and interventions. Results and discussion: Policies that increase active travel are likely to generate large individual health benefits through increases in physical activity for active travelers. Smaller, but population-wide benefits could accrue through reductions in air and noise pollution. Depending on conditions of policy implementations, risk tradeoffs are possible for some individuals who shift to active travel and consequently increase inhalation of air pollutants and exposure to traffic injuries. Well-designed policies may enhance health benefits through indirect outcomes such as improved social capital and diet, but these synergies are not sufficiently well understood to allow quantification at this time. Conclusion: Evaluating impacts of active travel policies is highly complex; however, many associations can be quantified. Identifying health-maximizing policies and conditions requires integrated HIAs. (C) 2011 Elsevier Ltd. All rights reserved.";1
economic analyses of transport infrastructure and policies including health effects related to cycling and walking: a systematic reviews;We reviewed published and unpublished Studies that presented the findings of an economic valuation of all aspect of transport infrastructure or policy, and included data on walking and/or cycling and health effects in the Valuation. We included 16 papers, of which three were classified as 'high: six as 'moderate' and seven as 'low' quality. There is a wide variation in the approaches taken for including the health effects of physical activity in economic analyses of transport projects. This is not helped by a lack of transparency of methods in many studies. A more standardised approach is called for, including a clearer description of the applied methods and assumptions taken. (C) 2008 Elsevier Ltd. All rights reserved.;1
emissions assessment of bike sharing schemes: the case of just eat cycles in edinburgh, uk;"Transport accounts for 40 % of global emissions, 72 % of which comes from road transport, and private cars are responsible for 60 % of road transport emissions. In cities, self-service bike sharing systems are quickly developing and are intended to offer an alternative and cleaner mode of transport than the car. However, the sustainability of such schemes is often taken as a given, rather than thoroughly evaluated. To address this gap, in this paper we undertake a life cycle assessment (LCA) of a public self-service bike sharing system in the city of Edinburgh, UK, modelling the production, operation and disposal elements of the system, but discounting additional food intake by users. Our results show that the bike sharing scheme is saving carbon dioxide equivalent emissions compared to the modes of transport by which its users previously travelled, but it is essential to optimize rebalancing operations and to manufacture bikes as near as possible to the point of use to further reduce carbon emissions; and that the overall emissions impacts of the scheme are critically dependent on how public transport providers respond to reductions in demand as users shift trips to bikeshare, since most trips transfer from walk and public transport, not private car. The policy implications for authorities seeking to use BSS as a GHG reduction intervention are not straightforward.";1
bicycling renaissance in north america? an update and re-appraisal of cycling trends and policies;This paper reviews trends in cycling levels, safety, and policies in Canada and the USA over the past two decades. We analyze aggregate data for the two countries as well as city-specific case study data for nine large cities (Chicago, Minneapolis, Montreal, New York, Portland, San Francisco, Toronto, Vancouver, and Washington). Cycling levels have increased in both the USA and Canada, while cyclist fatalities have fallen. There is much spatial variation and socioeconomic inequality in cycling rates. The bike share of work commuters is more than twice as high in Canada as in the USA, and is higher in the western parts of both countries. Cycling is concentrated in central cities, especially near universities and in gentrified neighborhoods near the city center. Almost all the growth in cycling in the USA has been among men between 25-64 years old, while cycling rates have remained steady among women and fallen sharply for children. Cycling rates have risen much faster in the nine case study cities than in their countries as a whole, at least doubling in all the cities since 1990. They have implemented a wide range of infrastructure and programs to promote cycling and increase cycling safety: expanded and improved bike lanes and paths, traffic calming, parking, bike-transit integration, bike sharing, training programs, and promotional events. We describe the specific accomplishments of the nine case study cities, focusing on each city's innovations and lessons for other cities trying to increase cycling. Portland's comprehensive package of cycling policies has succeeded in raising cycling levels 6-fold and provides an example that other North American cities can follow. (C) 2011 Elsevier Ltd. All rights reserved.;1
a transport policy whose injury impacts may go unnoticed: more walking, cycling and use of public transport;It is an objective of transport policy in many countries and cities to promote walking, cycling and the use of public transport. This policy seeks to improve public health and reduce emissions contributing to global warming. It is, however, very likely that more walking, cycling and use of public transport will be associated with an increase in traffic injury. Moreover, it is likely that most of this increase will go unnoticed and not be recorded in official road accident statistics. Official statistics on traffic injury are known to be very incomplete as far as injuries to pedestrians, cyclists and public transport passengers are concerned. This incompleteness is a problem when assessing health impacts of more walking, cycling and travel by public transport. In this paper, studies made in the city of Oslo, Norway (population 700,000) are used to develop numerical examples showing how the estimated real and recorded number of injuries may change when 10% of person km of travel performed by car are transferred to walking, cycling or public transport. It is shown that not more than about 2% of the estimated change in the actual number of injured road users will be recorded by official statistics on traffic injury.;1
a cost-benefit analysis of physical activity using bike/pedestrian trails;"From a public health perspective, a cost-benefit analysis of using bike/pedestrian trails in Lincoln, Nebraska, to reduce health care costs associated with inactivity was conducted. Data was obtained from the city's 1998 Recreational Trails Census Report and the literature. Per capita annual cost of using the trails was U.S.$209.28 ($59.28 construction and maintenance, $150 of equipment and travel). Per capita annual direct medical benefit of using the trails was $564.41. The cost-benefit ratio was 2.94, which means that every $1 investment in trails for physical activity led to $2.94 in direct medical benefit. The sensitivity analyses indicated the ratios ranged from 1.65 to 13.40. Therefore, building trails is cost beneficial from a public health perspective. The most sensitive parameter affecting the cost-benefit ratios were equipment and travel costs; however, even for the highest cost, every $1 investment in trails resulted in a greater return in direct medical benefit.";1
active school travel intervention methodologies in north america: a systematic review;"Context: As children's lifestyles have become increasingly sedentary, active school travel can be a relatively accessible way to increase their daily physical activity. In recent years, several different models of interventions have been utilized to promote children participating in active school travel. This review documents and analyzes the different active school travel intervention methodologies that have been used in North America (Canada or U.S.) by collecting, organizing, and evaluating data relating to all phases of active school travel interventions. Evidence acquisition: This systematic review developed a key word search and applied it in six databases (BIOSIS Previews, GeoBase, PubMed, SCOPUS, SPORTDiscus, Web of Science) to gather scholarly literature. A total of 22 studies evaluating children's active school travel interventions in a North American setting (four Canada, 18 U.S.) were identified for the period between January 2010 and March 2017. Evidence synthesis: Applying the Safe Routes to School Education, Encouragement, Enforcement, Engineering, Equity, and Evaluation (6 E's) framework, interventions were thematically assessed for their structure and organization, approaches and methods, and outcomes and discussions. Encouragement and education were the most commonly observed themes within the different methodologies of the studies reviewed. Details relating to intervention approaches and methods were common; whereas data relating to intervention structure and organization received much less attention. Conclusions: Kingdon's multiple streams approach was applied to frame the findings for program facilitators and evaluators. Within the multiple streams approach, several considerations are offered to address and potentially improve active school travel intervention conceptualization, partnerships, organization, and evaluation. (C) 2018 American Journal of Preventive Medicine. Published by Elsevier Inc. All rights reserved.";1
benchmarking cycling and walking in six new zealand cities: pilot study 2015;;1
cost analysis of the built environment: the case of bike and pedestrian trials in lincoln, neb;"We estimated the annual cost of bike and pedestrian trails in Lincoln, Neb, using construction and maintenance costs provided by the Department of Parks and Recreation of Nebraska. We obtained the number of users of 5 trails from a 1998 census report. The annual construction cost of each trail was calculated by using 3%, 5%, and 10% discount rates for a period of useful life of 10, 30, and 50 years. The average cost per mile and per user was calculated. Trail length averaged 3.6 miles (range= 1.6-4.6 miles). Annual cost in 2002 dollars ranged from $25 762 to $248479 (mean=$124927; median= $171064). The cost per mile ranged from $5735 to $54017 (mean=$35355; median=$37994). The annual cost per user was $235 (range= $83-$592), whereas per capita annual medical cost of inactivity was $622. Construction of trails fits a wide range of budgets and may be a viable health amenity for most communities. To increase trail cost-effectiveness, efforts to decrease cost and increase the number of users should be considered.";1
access to bike lanes and childhood obesity: a systematic review and meta-analysis;The lack of bike lane access has been a proven risk factor for childhood obesity due to its role in discouraging healthy lifestyles. However, there has not been a systematic review of this important association in the existing literature. This study aims to fill this gap. A literature search was conducted in the Cochrane Library, PubMed, Embase, and Web of Science for studies published from 1 January 2019 onwards that examined the association between bike lane access and weight-related behaviours and outcomes among children aged <18 years. A total of 21 studies were included in this systematic review. Among them, most of the studies showed that bike lane access was significantly associated with children and adolescents' physical activity (PA), whereas only two studies showed a negative association. Meta-analysis also supported these findings and showed that bike lane access was significantly associated with children and adolescents' PA (odds ratio [OR] = 1.57, 95% confidence interval [CI]: 1.37-1.81). Additionally, we reviewed how bike lane characteristics and microenvironment variables such as children and adolescents' choice of bicycle travel mode, the degree of separation of cycle path, cycle path unevenness, and street maintenance were associated with adolescents' preferences and intention to cycle. This systematic review and meta-analysis strongly suggests that bike lane access is associated with children and adolescents' PA. Nonetheless, it was difficult to draw a conclusion on the association between bike lane access and weight-related outcomes.;1
bella mossa: betterpoints' use of incentives to encourage active travel and reduce single-occupancy car use in bologna, italy;;1
bikeway networks: a review of effects on cycling;Research linking bikeway infrastructure and cycling levels has increased significantly over the last 20 years with the strongest growth since 2010. The research has evolved from the study of lanes and paths, to include analyses of the role of intersection treatments, and finally to studies that attempt to measure the whole bike network. Most studies suggest a positive relationship between bikeway networks or aspects of the network and cycling levels. Stated and revealed-preference studies suggest a hierarchy of cyclist and non-cyclist preferences may exist, favoring separate paths and/or lanes over cycling on roadways with traffic particularly with high volumes of fast-moving motorized traffic. Revealed- and stated-route-choice studies indicate that intersections have negative effects on the cycling experience, but that certain features can offset this. The research correlating link and node characteristics to cycling implies that networks of such facilities would have positive effects, though very few empirical studies link complex measures of the network to cycling levels. In spite of an increase in studies and general agreement among findings, several important research gaps remain, including empirical studies using comprehensive network measures and studies of specific facility designs and new types of facilities (including intersection treatments). Improved research methods are necessary, including better sampling, longitudinal studies, greater geographic diversity, and incorporating more control variables, including policies.;1
economic benefits of increased cycling;Cycling is not only improving the livability of cities, public health, air quality, or the CO2 balance, it also creates hard economic value and jobs. It is therefore a perfect tool for transition in the transport sector, providing a large number of assets, including jobs. Although the latter point is important to attract public authority consideration and investment in cycling, good information has hitherto been lacking. At regional or city level, some estimates of jobs in the cycling sector are available. At European level however, job figures have been quite scarce. This is the reason why ECF, in partnership with its Cycling Industry Club (CIC), asked TML to assess the jobs in the European cycling sector. TML assessed the number of jobs today and in the future, assuming a doubling in the modal share of cycling. It calculated full-time equivalent jobs in 5 subsectors: bicycle retail (mainly sales and repair), bicycle industry (manufacturing and wholesale), bicycle infrastructure, bicycle tourism (accommodation and restaurants), bicycle services. For most sectors job figures linked to cycling were not directly available. TML therefore consulted literature, national studies on the subject, national accounts, used some proxies and did some statistical analysis to provide estimates of jobs in the cycling sector. The study found that more than 650,000 jobs are linked to cycling today in the EU-27 and more than 400,000 new ones could be created in the future with a doubling of cycling modal share. Other interesting findings concern the characteristics of these jobs. Cycling could, compared to other sectors, create: more local jobs, more jobs for lower skilled workers, more jobs per euro spent. It could thus open an interesting window for opportunity for a transition to a more inclusive Europe. In 2015, ECF is producing another report on the economic benefits of cycling, more specifically regarding benefits which occur at the local level. Several studies have shown that, besides creating jobs, making cities more cycling-friendly has beneficial effects for e.g. the businesses of local retailers or for property value along traffic-calmed roads. ECF's aim is to provide an overview of the results of the research done so far and identify areas where further investigation is needed. The paper summarises both reports in order to show how cycling as a mode of transport is a factor of economic growth and provides social benefits. (C) 2016 The Authors. Published by Elsevier B.V.;1
economic impacts on local businesses of investments in bicycle and pedestrian infrastructure: a review of the evidence;"Local officials in the North America frequently face opposition to new or expanded bicycle or pedestrian facilities. The most vocal opponents are usually motorists and local business owners who fear that the removal of or reductions in vehicular parking or travel lanes will reduce patronage from motorists and that any increased patronage from pedestrians or cyclists will not offset the lost revenues. A lack of direct evidence on the economic impacts of facilities on local businesses has made it difficult to support or debunk such fears. A lack of quantitative evidence in particular has prevented the incorporation of such impacts into cost-benefit analyses. The issue has received enough attention from researchers in recent years that a review of the evidence is now warranted. We reviewed the relevant literature and identified 23 studies, focusing on the US and Canada, that either (1) quantified and compared consumer spending between active travellers and automobile users (n = 8), or (2) quantified an economic impact to local businesses following the installation of bicycle or pedestrian facilities (n = 15). Taken together, the studies indicate that creating or improving active travel facilities generally has positive or non-significant economic impacts on retail and food service businesses abutting or within a short distance of the facilities, though bicycle facilities might have negative economic effects on auto-centric businesses. The results are similar regardless of whether vehicular parking or travel lanes are removed or reduced to make room for the active travel facilities. The studies also highlight best practices for designing future research. Ten of the 15 studies that quantified an economic impact to local businesses used both before-and-after data and comparison sites or other statistical controls for variables unrelated to the active travel facility treatment; six of those used statistical testing.";1
health in all policies? the case of policies to promote bicycle use in the netherlands;To gather insight on how Health in All Policies (HiAP) is applied in practice, we carried out a case study on transport policies intended to stimulate a shift from car use to bicycling. We reviewed 3 years (2010, 2011, and 2012) of national budgets and policy documents in the Netherlands, followed by two focus group sessions and a second round of document analysis. We found to our surprise, given the country's history of bicycle promotion, that no HiAP approaches for bicycle promotion remain in place in national transport policies. The Netherlands may face serious challenges in the near future for facilitating bicycle use. Inclusion of health goals requires that the health sector work towards acquiring a better understanding of core values in other sector's policies.;1
infrastructure, programs, and policies to increase bicycling: an international review;Objectives. To assess existing research on the effects of various interventions on levels of bicycling. Interventions include infrastructure (e.g., bike lanes and parking), integration with public transport, education and marketing programs, bicycle access programs, and legal issues. Methods. A comprehensive search of peer-reviewed and non-reviewed research identified 139 studies. Study methodologies varied considerably in type and quality, with few meeting rigorous standards. Secondary data were gathered for 14 case study cities that adopted multiple interventions. Results. Many studies show positive associations between specific interventions and levels of bicycling. The 14 case studies show that almost all cities adopting comprehensive packages of interventions experienced large increases in the number of bicycle trips and share of people bicycling. Conclusions. most of the evidence examined in this review supports the crucial role of public policy in encouraging bicycling. Substantial increases in bicycling require an integrated package of many different, complementary interventions, including infrastructure provision and pro-bicycle programs, supportive land use planning, and restrictions on car use. (C) 2009 Elsevier Inc. All rights reserved.;1
what interventions increase commuter cycling? a systematic review;Objective: To identify interventions that will increase commuter cycling. Setting: All settings where commuter cycling might take place. Participants: Adults (aged 18+) in any country. Interventions: Individual, group or environmental interventions including policies and infrastructure. Primary and secondary outcome measures: A wide range of 'changes in commuter cycling' indicators, including frequency of cycling, change in workforce commuting mode, change in commuting population transport mode, use of infrastructure by defined populations and population modal shift. Results: 12 studies from 6 countries (6 from the UK, 2 from Australia, 1 each from Sweden, Ireland, New Zealand and the USA) met the inclusion criteria. Of those, 2 studies were randomised control trials and the remainder preintervention and postintervention studies. The majority of studies (n= 7) evaluated individual-based or group-based interventions and the rest environmental interventions. Individual-based or group-based interventions in 6/7 studies were found to increase commuter cycling of which the effect was significant in only 3/6 studies. Environmental interventions, however, had small but positive effects in much larger but more difficult to define populations. Almost all studies had substantial loss to follow-up. Conclusions: Despite commuter cycling prevalence varying widely between countries, robust evidence of what interventions will increase commuter cycling in low cycling prevalence nations is sparse. Wider environmental interventions that make cycling conducive appear to reach out to hard to define but larger populations. This could mean that environmental interventions, despite their small positive effects, have greater public health significance than individual-based or group-based measures because those interventions encourage a larger number of people to integrate physical activity into their everyday lives.;1
built environment interventions to increase active travel: a critical review and discussion;Purpose of ReviewTo review the literature on built environment interventions to increase active travel, focusing on work since 2000 and on methodological choices and challenges affecting studies.Recent FindingsIncreasingly, there is evidence that built environment interventions can lead to more walking or cycling. Evidence is stronger for cycling than for walking interventions, and there is a relative lack of evidence around differential impacts of interventions. Some of the evidence remains methodologically weak, with much work in the 'grey' literature.SummaryWhile evidence in the area continues to grow, data gaps remain. Greater use of quasi-experimental techniques, improvements in routine monitoring of smaller schemes, and the use of new big data sources are promising. More qualitative research could help develop a more sophisticated understanding of behaviour change.;1
institutional strategies for promoting biking;;1
beat the street - a whole community approach to encouraging walking and cycling;;1
planning and design of equitable free-floating bike-sharing systems implementing a road pricing strategy;Promoting a more sustainable development of urban realities is one of the most important goals of the recent decades. One possible strategy to undertake in order to achieve this objective is the implementation of a road pricing: tolling private cars when passing by certain roads of the network could be a way to tone down the traffic congestion and, at the same time, encourage the shifting towards more sustainable means of transport. In this context, we suggest a method to distribute in a fair way the outcomes/revenues of this pricing strategy. In particular, we propose to design a free-floating bike-sharing system whose resources could be allocated in the territory according to spatial and social equity principles. The relation between the amount of the tolls, the number of days of application of the policy, and the pursued equity is investigated, and both a numerical application (to a test network and to a real case study) and a sensitivity analysis in support of the method are enclosed.;1
