Title;Abstract;Relevance
Are AI tools better than traditional tools in literature searching? Evidence from E-commerce research,;This article examines the potential implications of Artificial Intelligence (AI) for literature search, comparing AI-based tools to conventional research methods. It also addresses the scarcity of academic literature on specific AI tools for research writing, posing four critical questions regarding accuracy, quality, uniqueness, and qualified uniqueness. Employing Algorithmic Theory and Data Dependency Theory, this project scrutinizes AI performance in algorithms, machine learning models, and data quality. Testing nine e-commerce topics using Scopus, Web of Science, Elicit, and SciSpace, the authors conclude that while conventional methods excel in accuracy and quality, AI tools show promise in uniqueness, complementing literature reviews. The findings also emphasize the judicious integration of AI tools and advocate for further research into new applications and diverse fields. Ultimately, this research offers highly relevant insights into leveraging AI tools to enhance conventional literature search practices in research and professional domains. © The Author(s) 2024.;1
Enhancing Systematic Reviews in Health Science Using Integrated Search Interfaces, Discovery Layers and Federated Searching,;This article highlights the importance of integrated search interfaces (ISI) in systematic reviews and examines the current guidelines on their use. ISI can help researchers determine the scope of their review topic and identify relevant search terms and subject headings. They can also assist in developing and documenting search strategies, as well as rapidly expanding searches to additional databases, registers, and gray literature. ISI can also be used for ongoing literature surveillance and the identification of retractions and errata. Limitations and challenges associated with the use of ISI in systematic reviews include;1
Are ChatGPT and large language models “the answer” to bringing us closer to systematic review automation?,;In this commentary, we discuss ChatGPT and our perspectives on its utility to systematic reviews (SRs) through the appropriateness and applicability of its responses to SR related prompts. The advancement of artificial intelligence (AI)-assisted technologies leave many wondering about the current capabilities, limitations, and opportunities for integration AI into scientific endeavors. Large language models (LLM)—such as ChatGPT, designed by OpenAI—have recently gained widespread attention with their ability to respond to various prompts in a natural-sounding way. Systematic reviews (SRs) utilize secondary data and often require many months and substantial financial resources to complete, making them attractive grounds for developing AI-assistive technologies. On February 6, 2020, PICO Portal developers hosted a webinar to explore ChatGPT’s responses to tasks related to SR methodology. Our experience from exploring the responses of ChatGPT suggest that while ChatGPT and LLMs show some promise for aiding in SR-related tasks, the technology is in its infancy and needs much development for such applications. Furthermore, we advise that great caution should be taken by non-content experts in using these tools due to much of the output appearing, at a high level, to be valid, while much is erroneous and in need of active vetting. © 2020, The Author(s).;1
Systematic reviewers used various approaches to data extraction and expressed several research needs: a survey,;Objective: Data extraction is a prerequisite for analyzing, summarizing, and interpreting evidence in systematic reviews. Yet guidance is limited, and little is known about current approaches. We surveyed systematic reviewers on their current approaches to data extraction, opinions on methods, and research needs. Study Design and Setting: We developed a 29-question online survey and distributed it through relevant organizations, social media, and personal networks in 2022. Closed questions were evaluated using descriptive statistics, and open questions were analyzed using content analysis. Results: 162 reviewers participated. Use of adapted (65%) or newly developed extraction forms (62%) was common. Generic forms were rarely used (14%). Spreadsheet software was the most popular extraction tool (80%). Piloting was reported by 74% of respondents and included a variety of approaches. Independent and duplicate extraction was considered the most appropriate approach to data collection (64%). About half of respondents agreed that blank forms and/or raw data should be published. Suggested research gaps were the effects of different methods on error rates (60%) and the use of data extraction support tools (46%). Conclusion: Systematic reviewers used varying approaches to pilot data extraction. Methods to reduce errors and use of support tools such as (semi-)automation tools are top research gaps. © 2020 Elsevier Inc.;1
How Good Is ChatGPT for Medication Evidence Synthesis?,;With its seeming competence to mimic human responses, ChatGPT, an emerging AI-powered chatbot, has spurred great interest. This study aims to explore the role of ChatGPT in synthesizing medication literature and compare it with a hybrid summarization system. We tested ten medications' effectiveness with reference to their definitions and descriptions extracted from DrugBank. ChatGPT could generate coherent summaries that are not backed by evidence. In contrast, our approach can provide a highly structured and concise synthesis of related evidence, but the resulting summary is not as fluent and convincing as ChatGPT. Therefore, we recommend integrating both techniques to achieve the best performance. © 2020 European Federation for Medical Informatics (EFMI) and IOS Press.;1
We extended the 2-week systematic review (2weekSR) methodology to larger, more complex systematic reviews: A case series,;Objectives: In 2019 we invented the 2-week systematic review (2weekSR) methodology, to complete full, Preferred Reporting Items for Systematic Reviews and Meta-Analyses-compliant systematic reviews in approximately 2 weeks. Since then we have continued to develop and adapt the 2weekSR methodology for completing larger and more complex systematic reviews, including less experienced or inexperienced team members. Study Design and Setting: For ten 2weekSRs, we collected data on (1) systematic review characteristics;1
Digitalising the Systematic Literature Review process: the MySLR platform,;The main contribution of this paper is the development of a digital platform to support researchers in conducting systematic literature reviews (SLRs). The digital platform is able to overcome limitations of other available tools to support, in particular, reviews in the organisation and management field of study. The name of this platform is MySLR. After analysing characteristics of main approaches for SLRs, we highlighted limitations of methods and digital platforms currently used to support researchers in SLRs thus we defined an original methodology for digitalising the SLR phases. The methodology, that can overcome limitations of other methods, has been implemented in the MySLR digital platform. To validate the correctness of the methodology and test the robustness of MySLR, a SLR use case has been carried out in the field of human resource management in the context of Industry 4.0. Main results of this SLR have been reported as well. © Operational Research Society 2022.;1
STAR-ML: A Rapid Screening Tool for Assessing Reporting of Machine Learning in Research,;Literature review provides researchers with an overview of the field and when presented as a systematic assessment, it summarizes state-of-the-art information and identifies knowledge gaps. While there are many tools for assessing quality and risk-of-bias within studies, there is currently no generalized tool for evaluating the transparency, reproducibility, and correctness of machine learning (ML) reporting in the literature. This study proposes a new tool (Screening Tool for Assessing Reporting of Machine Learning;1
Toward automated data extraction according to tabular data structure: Cross-sectional pilot survey of the comparative clinical literature,;Background: Systematic reviews depend on time-consuming extraction of data from the PDFs of underlying studies. To date, automation efforts have focused on extracting data from the text, and no approach has yet succeeded in fully automating ingestion of quantitative evidence. However, the majority of relevant data is generally presented in tables, and the tabular structure is more amenable to automated extraction than free text. Objective: The purpose of this study was to classify the structure and format of descriptive statistics reported in tables in the comparative medical literature. Methods: We sampled 100 published randomized controlled trials from 2019 based on a search in PubMed;1
A systematic review of automatic text summarization for biomedical literature and EHRs,;Objective: Biomedical text summarization helps biomedical information seekers avoid information overload by reducing the length of a document while preserving the contents' essence. Our systematic review investigates the most recent biomedical text summarization researches on biomedical literature and electronic health records by analyzing their techniques, areas of application, and evaluation methods. We identify gaps and propose potential directions for future research. Materials and Methods: This review followed the PRISMA methodology and replicated the approaches adopted by the previous systematic review published on the same topic. We searched 4 databases (PubMed, ACM Digital Library, Scopus, and Web of Science) from January 1, 2010 to April 8, 2021. Two reviewers independently screened title, abstract, and full-text for all retrieved articles. The conflicts were resolved by the third reviewer. The data extraction of the included articles was in 5 dimensions: input, purpose, output, method, and evaluation. Results: Fifty-eight out of 7205 retrieved articles met the inclusion criteria. Thirty-nine systems used single-document biomedical research literature as their input, 17 systems were explicitly designed for clinical support, 47 systems generated extractive summaries, and 50 systems adopted hybrid methods combining computational linguistics, machine learning, and statistical approaches. As for the assessment, 51 studies conducted an intrinsic evaluation using predefined metrics. Discussion and Conclusion: This study found that current biomedical text summarization systems have achieved good performance using hybrid methods. Studies on electronic health records summarization have been increasing compared to a previous survey. However, the majority of the works still focus on summarizing literature. © 2021 The Author(s).;1
CrowdSLR: A tool to support the use of crowdsourcing in systematic literature reviews,;Systematic Literature Reviews (SLR) have been used by Software Engineering (SE) community to produce reliable scientific evidence. An SLR process can be exhaustive and time-consuming, therefore, many approaches have been proposed to reduce time and efforts during the SLR conduction process. Although the SLR process is amenable to automation, nowadays full automation is not yet possible. An alternative to reduce time and efforts in SLR conduction is the use of crowdsourcing. However, there is no crowdsourcing tool to support a crowd-based SLR process. In this context, we present CrowdSLR, a tool to support the application of crowdsourcing in SLR during the selection of primary studies. Furthermore, we present its main features, potential users, and the architecture that was implemented to allow researchers to adopt this tool. The results of the CrowdSLR application indicate that the tool is able to provide the use crowdsourcing during the SLR selection process. The results that the proposed tool, indeed, show a significant improvement in the crowdsourcing approach in terms of time and effort to facilitate the SLR selection activity. Demo Video: https://youtu.be/UoQTC-R-Mv0 © 2021 ACM.;1
